Website,Question,Answer
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,1. I have recently arrived in Ireland. How can I register my permission for the first time?,"If you live in the Republic of Ireland you mustmake an appointmentto attend the public Registration Office in Burgh Quay, Dublin. You should register within 90 days. If you can’t get an appointment within that time, don’t worry, you won’t be asked to leave the country while waiting to register. After you book an appointment, we will send you an email telling you whatdocumentsto bring with you."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,2. What happens at my appointment?,We will review your documentsWe will take your photograph and fingerprintsWe will stamp your passport with the permission to stay you have been givenYou will pay the fee if it applies.You may be required to pay a fee of €300 to register your immigration permission. The visit should take no longer than 30 minutes.
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,3. When will I receive my Irish Residence Permit (IRP) card?,"If you reside in the Republic of Ireland and you attended the Registration Office in Dublin to register for the first time or if you applied torenew your permission online, you will receive your IRP card within approximately 10-15 working days of being registered for the first time or having your online application processed."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,4. Is my permission restricted to the expiry of my passport?,"No, from April 2021 your permission is not linked to the expiration date on your passport. When you receive a new passport, you are legally required to contact the Registration Office in Burgh Quay, Dublin to update your details. If you have a question about a balance of permission or you want to update your details please use our dedicatedCustomer Service Portal. You can register for an account or log in to your existing account."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,5. I am currently outside Ireland. Can I renew my permission online?,"No, you must be currently in the State."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,6. Can I automatically extend or change a permission online?,"You can extend or seek a change of permission online in some cases (for example, applying for Stamp 1G Graduate Scheme following completion of a Stamp 2 degree course), once you provide all necessary supporting documentation.Applications for extension of Stamp 0, Stamp 4EUfam, Stamp 5 and Stamp 6 permissions need to be submitted directly to the relevant area in the Department. You can find detailshere.You should apply within 30 days before your current permission expires. Once you receive a new permission letter you can then apply to register it and obtain a new IRP card online."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,7. I have a new passport. Do I need to submit it to renew my permission?,"If you are renewing your immigration permission and you have a new passport, you do not need to attend in person to have your new passport stamped with your immigration permission.  You canrenew your immigration permission here."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,8. I have lost my passport. Can I apply for renewal without it?,No. Proof of holding a valid identity document is required for all online renewal applications. You should apply for online renewal only when you obtain a replacement passport.
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,9. How can I prove that I am in permission while I am awaiting delivery of my IRP card?,"When you apply for online renewal, you will receive an acknowledgement email with your Registration Office (OREG) application number. This can be used as proof of having submitted a request for renewal of your immigration permission to ISD. You should also be in possession of your previous IRP card. This confirms your immigration stamp permission and the validity date of same. If your card has expired, your acknowledgement email will serve as evidence that a renewal application has been made."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,"10. If I’m travelling, will the airline accept my IRP card if I don’t have a stamp in my passport?","Airline carriers, ferries and other forms of international transport require valid passport for international travel. You must also produce a valid IRP card for airline carriers and Immigration authorities to verify a person’s current permission."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,11. What happens if I don’t have my IRP card and I need to travel under emergency circumstances?,"If you qualify for an IRP card you should use our dedicatedCustomer Service Portalexplaining your circumstances and your urgent need to travel. You can register for an account or log in to your existing account.You should submit proof of travel, for example your flight booking and the reason for the emergency."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,12. I am a parent. How can I apply for re-entry visas in respect of my children?,You can find all the details athere.
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,13. What happens if my IRP card is lost or stolen?,"If you lose your IRP card or if it is stolen, you should report it to An Garda Siochána immediately. Checkwww.garda.ieto find your local station. Please use our dedicatedCustomer Service Portalto have a new card issued. You can register for an account or log in to your existing account."
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,14. What courses can a Non- EEA national study in Ireland?,If you come from a country outside the European Union or Switzerland and wish to study in Ireland you must be enrolled in a full-time course on theInterim List of Eligible Programmes. To receive permission to study in Ireland you must enrol on a full-time day-time course. Part-time or distance learning courses do not qualify for a student visa
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,15. How can I check that the course I wish to study is included on the ILEP?,The list is available atInterim List of Eligible Programmes. Your student permission can only be granted if you have enrolled on and commenced a course listed.
https://www.irishimmigration.ie/registering-your-immigration-permission/frequently-asked-questions-for-registration/,16. What courses are available on the ILEP?,TheILEPcovers English language and higher education programmes described below:Higher Education programmes leading to Major AwardsHigher Education programmes leading to Non-Major AwardsFoundation ProgrammesProfessional AwardsEnglish Language programmes.
